date,close,volume,sharesOutstanding,freeCashFlow,totalDebt,cashAndCashEquivalents,symbol
2020-12-31,87.10957336425781,21070000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-01-04,85.79197692871094,37324000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-01-05,86.48382568359375,20360000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-01-06,85.63043975830078,46588000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-01-07,88.1881103515625,41936000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-01-08,89.35560607910156,35484000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-01-11,87.29098510742188,34796000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-01-12,86.35360717773438,29528000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-01-13,86.84169006347656,23432000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-01-14,86.0300521850586,29212000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-01-15,85.86602783203125,31444000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-01-19,88.69158935546875,41660000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-01-20,93.4430923461914,64152000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-01-21,93.64586639404295,58634000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-01-22,94.0638656616211,32744000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-01-25,94.14934539794922,50586000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-01-26,94.82877349853516,31462000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-01-27,90.40481567382812,82512000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-01-28,92.10760498046876,55278000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-01-29,90.82330322265624,44530000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-02-01,94.08922576904295,40252000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-02-02,95.38394927978516,66332000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-02-03,102.3302993774414,97882000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-02-04,102.0693588256836,48596000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-02-05,103.8188705444336,29866000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-02-08,103.60464477539062,28828000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-02-09,103.15087127685548,21892000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-02-10,103.70206451416016,25102000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-02-11,103.81488037109376,20480000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-02-12,104.12702178955078,18990000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-02-16,104.90585327148438,31004000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-02-17,105.29948425292967,20294000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-02-18,104.66278839111328,22546000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-02-19,103.81787109375,37938000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-02-22,102.10066223144533,29466000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-02-23,102.39190673828124,34658000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-02-24,103.5693588256836,22608000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-02-25,100.19659423828124,41548000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-02-26,100.4927978515625,40042000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-03-01,102.86608123779295,26060000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-03-02,102.60862731933594,25564000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-03-03,99.97093963623048,33892000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-03-04,101.09022521972656,49216000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-03-05,104.22840118408205,53100000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-03-08,99.77659606933594,36868000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-03-09,101.4098129272461,33920000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-03-10,101.20256042480467,27100000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-03-11,104.40087127685548,27702000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-03-12,101.88893127441406,33818000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-03-15,102.10961151123048,26168000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-03-16,103.5733413696289,31900000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-03-17,103.4903335571289,26382000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-03-18,100.4644775390625,31700000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-03-19,100.74380493164062,46072000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-03-22,100.92919158935548,33536000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-03-23,101.45801544189452,28510000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-03-24,101.02064514160156,25218000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-03-25,101.01716613769533,35616000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-03-26,100.63297271728516,27978000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-03-29,101.67969512939452,26492000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-03-30,101.71349334716795,27312000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-03-31,102.51119232177734,42570000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-04-01,105.85416412353516,39880000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-04-05,110.2865753173828,48510000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-04-06,109.80445861816406,35240000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-04-07,111.28408813476562,24134000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-04-08,111.85070037841795,28664000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-04-09,112.85665893554688,26146000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-04-12,111.56192016601562,25024000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-04-13,112.04949951171876,25682000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-04-14,111.42723083496094,21002000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-04-15,113.58130645751952,29174000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-04-16,113.45706176757812,26282000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-04-19,113.8054656982422,30290000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-04-20,113.27117156982422,22288000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-04-21,113.23837280273438,23204000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-04-22,111.95457458496094,24146000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-04-23,114.3109359741211,29066000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-04-26,114.8079605102539,32038000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-04-27,113.86610412597656,44386000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
2021-04-28,117.24883270263672,81106000,13616320000.0,42843000000.0,26772000000.0,26465000000.0,GOOGL
