date,symbol,freeCashFlow
2024-12-31,GOOGL,72764000000
2023-12-31,GOOGL,69495000000
2022-12-31,GOOGL,60010000000
2021-12-31,GOOGL,67012000000
2020-12-31,GOOGL,42843000000
