date,symbol,sharesOutstanding
2024-12-31,AMZN,10473000000
2023-12-31,AMZN,10304000000
2022-12-31,AMZN,10189000000
2021-12-31,AMZN,10120000000
2020-12-31,AMZN,10000000000
