date,symbol,sharesOutstanding
2025-01-26,NVDA,24555000000
2024-01-28,NVDA,24690000000
2023-01-29,NVDA,24870000000
2022-01-30,NVDA,24960000000
2021-01-31,NVDA,24680000000
