date,symbol,totalDebt,cashAndCashEquivalents
2024-12-31,GOOGL,25461000000,23466000000
2023-12-31,GOOGL,27121000000,24048000000
2022-12-31,GOOGL,29679000000,21879000000
2021-12-31,GOOGL,28395000000,20945000000
2020-12-31,GOOGL,26772000000,26465000000
