date,symbol,totalDebt,cashAndCashEquivalents
2025-06-30,MSFT,112184000000,30242000000
2024-06-30,MSFT,67127000000,18315000000
2023-06-30,MSFT,59965000000,34704000000
2022-06-30,MSFT,61270000000,13931000000
2021-06-30,MSFT,67775000000,14224000000
