date,symbol,totalDebt,cashAndCashEquivalents
2024-12-31,TSLA,13623000000,16139000000
2023-12-31,TSLA,9573000000,16398000000
2022-12-31,TSLA,5748000000,16253000000
2021-12-31,TSLA,8873000000,17576000000
2020-12-31,TSLA,13279000000,19384000000
