date,symbol,sharesOutstanding
2024-12-31,GOOGL,12319000000
2023-12-31,GOOGL,12630000000
2022-12-31,GOOGL,13063000000
2021-12-31,GOOGL,13353000000
2020-12-31,GOOGL,13616320000
