date,symbol,totalDebt,cashAndCashEquivalents
2024-09-28,AAPL,119059000000,29943000000
2023-09-30,AAPL,123930000000,29965000000
2022-09-24,AAPL,132480000000,23646000000
2021-09-25,AAPL,136522000000,34940000000
2020-09-26,AAPL,122278000000,38016000000
