date,symbol,totalDebt,cashAndCashEquivalents
2024-12-31,AMZN,130900000000,78779000000
2023-12-31,AMZN,135611000000,73387000000
2022-12-31,AMZN,140118000000,53888000000
2021-12-31,AMZN,116395000000,36220000000
2020-12-31,AMZN,84389000000,42122000000
