date,symbol,sharesOutstanding
2025-06-30,MSFT,7433000000
2024-06-30,MSFT,7431000000
2023-06-30,MSFT,7446000000
2022-06-30,MSFT,7496000000
2021-06-30,MSFT,7547000000
