date,symbol,totalDebt,cashAndCashEquivalents
2024-12-31,META,49060000000,43889000000
2023-12-31,META,37234000000,41862000000
2022-12-31,META,26591000000,14681000000
2021-12-31,META,13873000000,16601000000
2020-12-31,META,10654000000,17576000000
