date,symbol,sharesOutstanding
2024-09-28,AAPL,15343783000
2023-09-30,AAPL,15744231000
2022-09-24,AAPL,16215963000
2021-09-25,AAPL,16701272000
2020-09-26,AAPL,17352119000
