date,symbol,totalDebt,cashAndCashEquivalents
2024-12-31,NFLX,17994974000,7804733000
2023-12-31,NFLX,16973374000,7116913000
2022-12-31,NFLX,16931564000,5147176000
2021-12-31,NFLX,18116570000,6027804000
2020-12-31,NFLX,18510826000,8205550000
