date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2024-12-31,AMZN,USD,0001018724,2025-02-07,2025-02-06 18:40:29,2024,FY,637959000000,326288000000,311671000000,0.4885439346,88544000000,11359000000,43907000000,55266000000,99268000000,243078000000,569366000000,4677000000,2406000000,52795000000,123815000000,0.1940798703,68593000000,0.1075194487,-80000000,68513000000,0.1073940488,9265000000,59248000000,0.092871172,5.66,5.53,10473000000,10721000000,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/0001018724-25-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm
2023-12-31,AMZN,USD,0001018724,2024-02-02,2024-02-01 18:48:30,2023,FY,574785000000,304739000000,270046000000,0.4698208896,85622000000,11816000000,44370000000,56186000000,91386000000,233194000000,537933000000,2949000000,3182000000,48663000000,89402000000,0.1555398975,36852000000,0.064114408,705000000,37557000000,0.0653409536,7120000000,30425000000,0.0529328358,2.95,2.9,10304000000,10492000000,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/0001018724-24-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm
2022-12-31,AMZN,USD,0001018724,2023-02-03,2023-02-02 18:27:34,2022,FY,513983000000,288831000000,225152000000,0.4380533987,73213000000,11891000000,42238000000,54129000000,85562000000,212904000000,501735000000,989000000,2367000000,41921000000,38352000000,0.0746172539,12248000000,0.0238295819,-18184000000,-5936000000,-0.0115490201,-3217000000,-2722000000,-0.005295895,-0.27,-0.27,10189000000,10189000000,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/0001018724-23-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/amzn-20221231.htm
2021-12-31,AMZN,USD,0001018724,2022-02-04,2022-02-03 18:46:51,2021,FY,469822000000,272344000000,197478000000,0.4203251444,56052000000,8823000000,32551000000,41374000000,75173000000,172599000000,444943000000,448000000,1809000000,34433000000,74393000000,0.1583429469,24879000000,0.0529540975,13272000000,38151000000,0.0812030939,4791000000,33364000000,0.0710141288,3.3,3.24,10120000000,10300000000,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000005/0001018724-22-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000005/amzn-20211231.htm
2020-12-31,AMZN,USD,0001018724,2021-02-03,2021-02-02 19:44:10,2020,FY,386064000000,233307000000,152757000000,0.3956779187,42740000000,6668000000,22008000000,28676000000,58442000000,129858000000,363165000000,555000000,1647000000,25180000000,51005000000,0.1321154006,22899000000,0.0593139998,1295000000,24194000000,0.0626683659,2863000000,21331000000,0.055252497,2.13,2.09,10000000000,10200000000,https://www.sec.gov/Archives/edgar/data/1018724/000101872421000004/0001018724-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872421000004/amzn-20201231.htm
