date,close,volume,pe_ratio,eps,beta
2024-06-20 00:00:00-04:00,181.57000732421875,55893100,185.0862,1.74,2.461
2024-06-21 00:00:00-04:00,183.00999450683594,63029500,185.0862,1.74,2.461
2024-06-24 00:00:00-04:00,182.5800018310547,61992100,185.0862,1.74,2.461
2024-06-25 00:00:00-04:00,187.35000610351562,63678300,185.0862,1.74,2.461
2024-06-26 00:00:00-04:00,196.3699951171875,95737100,185.0862,1.74,2.461
2024-06-27 00:00:00-04:00,197.4199981689453,72746500,185.0862,1.74,2.461
2024-06-28 00:00:00-04:00,197.8800048828125,95438100,185.0862,1.74,2.461
2024-07-01 00:00:00-04:00,209.86000061035156,135691400,185.0862,1.74,2.461
2024-07-02 00:00:00-04:00,231.25999450683594,205047900,185.0862,1.74,2.461
2024-07-03 00:00:00-04:00,246.38999938964844,166561500,185.0862,1.74,2.461
2024-07-05 00:00:00-04:00,251.52000427246094,154501200,185.0862,1.74,2.461
2024-07-08 00:00:00-04:00,252.94000244140625,157219600,185.0862,1.74,2.461
2024-07-09 00:00:00-04:00,262.3299865722656,160210900,185.0862,1.74,2.461
2024-07-10 00:00:00-04:00,263.260009765625,128519400,185.0862,1.74,2.461
2024-07-11 00:00:00-04:00,241.02999877929688,221707300,185.0862,1.74,2.461
2024-07-12 00:00:00-04:00,248.22999572753906,155955800,185.0862,1.74,2.461
2024-07-15 00:00:00-04:00,252.63999938964844,146912900,185.0862,1.74,2.461
2024-07-16 00:00:00-04:00,256.55999755859375,126332500,185.0862,1.74,2.461
2024-07-17 00:00:00-04:00,248.5,115584800,185.0862,1.74,2.461
2024-07-18 00:00:00-04:00,249.22999572753906,110869000,185.0862,1.74,2.461
2024-07-19 00:00:00-04:00,239.1999969482422,87403900,185.0862,1.74,2.461
2024-07-22 00:00:00-04:00,251.50999450683594,101225400,185.0862,1.74,2.461
2024-07-23 00:00:00-04:00,246.3800048828125,111928200,185.0862,1.74,2.461
2024-07-24 00:00:00-04:00,215.99000549316406,167942900,185.0862,1.74,2.461
2024-07-25 00:00:00-04:00,220.25,100636500,185.0862,1.74,2.461
2024-07-26 00:00:00-04:00,219.8000030517578,94604100,185.0862,1.74,2.461
2024-07-29 00:00:00-04:00,232.10000610351562,129201800,185.0862,1.74,2.461
2024-07-30 00:00:00-04:00,222.6199951171875,100560300,185.0862,1.74,2.461
2024-07-31 00:00:00-04:00,232.07000732421875,67497000,185.0862,1.74,2.461
2024-08-01 00:00:00-04:00,216.86000061035156,83861900,185.0862,1.74,2.461
2024-08-02 00:00:00-04:00,207.6699981689453,82880100,185.0862,1.74,2.461
2024-08-05 00:00:00-04:00,198.8800048828125,100308800,185.0862,1.74,2.461
2024-08-06 00:00:00-04:00,200.63999938964844,73783900,185.0862,1.74,2.461
2024-08-07 00:00:00-04:00,191.75999450683594,71159800,185.0862,1.74,2.461
2024-08-08 00:00:00-04:00,198.83999633789062,65033900,185.0862,1.74,2.461
2024-08-09 00:00:00-04:00,200.0,58648300,185.0862,1.74,2.461
2024-08-12 00:00:00-04:00,197.49000549316406,64044900,185.0862,1.74,2.461
